acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,label
0.713,0.514,100125,0.521,0.816,8,0.112,-14.835,0,0.0444,119.879,4,0.143,1
0.192,0.714,207019,0.614,0.0,4,0.263,-6.935,1,0.0319,123.969,4,0.582,1
0.333,0.63,216200,0.455,3.59e-6,5,0.127,-9.29,1,0.0292,139.931,4,0.199,1
0.601,0.81,136413,0.221,0.21,5,0.184,-11.005,1,0.0429,109.96,4,0.798,1
0.883,0.465,181440,0.459,0.000173,6,0.0692,-8.137,0,0.0351,90.807,4,0.288,1
0.524,0.633,244360,0.401,0.0,4,0.123,-12.549,1,0.0439,134.978,4,0.523,1
0.597,0.507,183573,0.795,0.0,9,0.296,-6.966,1,0.0607,165.54,4,0.9,0
0.452,0.825,259102,0.435,0.609,1,0.0953,-9.582,1,0.0568,119.038,4,0.243,1
0.748,0.42,366179,0.324,0.839,9,0.0723,-14.7,0,0.0556,183.02,3,0.33,1
0.913,0.292,197613,0.246,0.0883,0,0.209,-9.758,1,0.033,140.316,4,0.249,1
0.53,0.525,206249,0.574,6.89e-6,1,0.314,-6.448,0,0.296,199.512,4,0.42,1
0.952,0.327,240600,0.28,3.31e-5,2,0.104,-9.003,1,0.0408,83.047,4,0.13,1
0.0399,0.546,241920,0.733,1.11e-6,2,0.235,-7.073,1,0.0299,107.285,4,0.91,1
0.954,0.437,181053,0.285,0.0679,0,0.113,-10.683,1,0.0324,87.91,4,0.265,1
0.359,0.425,238587,0.562,4.68e-5,2,0.103,-6.428,0,0.0278,81.016,4,0.488,1
0.706,0.249,208147,0.564,0.369,4,0.364,-6.576,0,0.101,78.576,4,0.335,1
0.00329,0.688,279829,0.819,1.8e-5,7,0.0943,-6.935,1,0.0558,146.003,4,0.457,0
0.0152,0.591,245741,0.585,0.023,6,0.0584,-10.297,0,0.0315,130.076,4,0.372,1
0.992,0.525,226293,0.0633,0.905,9,0.105,-23.072,1,0.0497,71.855,4,0.297,1
0.0178,0.847,226547,0.609,0.0,4,0.0707,-6.335,1,0.416,128.006,4,0.625,0
0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,1
0.135,0.651,189531,0.876,0.0,8,0.224,-7.033,1,0.357,76.166,4,0.736,0
0.615,0.499,361613,0.603,0.0,7,0.208,-10.022,1,0.335,128.317,4,0.417,1
0.0235,0.464,198237,0.771,0.0,8,0.063,-4.503,1,0.336,158.777,4,0.69,0
0.024,0.681,202720,0.89,1.3e-5,3,0.0663,-5.416,1,0.0484,136.401,4,0.803,1
0.994,0.45,199493,0.0153,0.919,2,0.063,-25.257,1,0.0552,81.327,4,0.226,1
0.307,0.659,146325,0.692,1.49e-5,0,0.132,-6.275,0,0.0278,98.077,4,0.37,1
0.0503,0.811,179000,0.863,0.0,0,0.309,-4.64,1,0.103,121.971,4,0.644,0
0.17,0.626,188467,0.667,0.0,9,0.112,-6.484,1,0.0739,89.233,4,0.855,0
0.336,0.654,191000,0.859,0.0,0,0.0947,-4.321,1,0.166,114.87,4,0.704,1
0.36,0.201,262360,0.488,0.118,0,0.666,-10.913,1,0.0284,88.582,4,0.104,1
0.829,0.584,139067,0.428,0.848,5,0.107,-14.283,1,0.0293,111.57,4,0.593,1
0.983,0.311,124067,0.147,0.0,10,0.107,-22.533,1,0.0567,77.834,4,0.387,1
0.671,0.548,224867,0.564,0.0,9,0.11,-6.662,0,0.105,95.154,4,0.615,1
0.951,0.662,206467,0.227,0.0,2,0.0613,-12.03,1,0.108,116.003,5,0.629,0
0.962,0.211,103867,0.0904,0.881,8,0.183,-27.385,1,0.0385,82.279,3,0.0652,1
0.515,0.567,178013,0.94,3.51e-5,3,0.441,-5.161,1,0.049,84.188,4,0.967,0
0.177,0.821,270587,0.774,0.000676,11,0.0577,-3.418,1,0.235,93.425,4,0.547,0
0.12,0.702,165173,0.788,0.0,5,0.171,-1.455,0,0.251,163.903,4,0.645,0
0.0284,0.856,174785,0.854,0.0,6,0.045,-3.98,1,0.103,117.947,4,0.846,0
0.12,0.407,213213,0.868,0.0,2,0.25,-4.057,0,0.199,146.687,4,0.566,0
0.022,0.646,219899,0.851,0.0104,7,0.126,-4.034,0,0.0311,126.47,4,0.514,1
0.0371,0.685,183894,0.638,0.0,6,0.0987,-6.539,1,0.0367,123.442,4,0.414,1
0.00897,0.612,183519,0.963,0.00378,5,0.294,-3.912,0,0.0531,138.009,4,0.179,0
0.271,0.769,272333,0.396,0.0386,10,0.184,-15.419,1,0.0302,105.845,4,0.622,1
0.263,0.579,86813,0.141,0.0,0,0.296,-9.288,1,0.105,128.824,4,0.737,0
0.228,0.375,180520,0.504,0.0,6,0.208,-6.688,1,0.0366,176.318,4,0.384,1
0.988,0.318,403280,0.0451,0.888,10,0.0769,-27.127,1,0.0483,79.544,4,0.142,1
0.374,0.625,194733,0.6,0.0248,1,0.151,-7.75,1,0.0291,85.959,4,0.18,0
0.0767,0.395,221093,0.811,0.0159,4,0.342,-5.546,1,0.0945,154.708,4,0.615,1
0.253,0.638,169784,0.883,0.0,5,0.146,-4.273,1,0.0409,118.198,4,0.913,0
0.712,0.685,189830,0.566,0.0,8,0.138,-7.976,1,0.0729,134.712,4,0.606,1
0.763,0.438,221653,0.319,0.0,0,0.0767,-10.577,1,0.049,133.433,4,0.216,1
0.934,0.58,187427,0.101,0.000302,10,0.0768,-15.661,1,0.0289,91.003,3,0.302,1
0.0469,0.311,208467,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668,1
0.548,0.621,249027,0.59,0.0,2,0.269,-9.031,1,0.0304,110.049,4,0.557,0
0.618,0.669,260760,0.518,0.623,9,0.102,-10.743,1,0.0261,91.019,4,0.463,1
0.682,0.427,297933,0.377,0.0,5,0.105,-8.136,1,0.0334,125.081,4,0.245,1
0.543,0.717,261773,0.916,0.000156,11,0.0854,-6.047,1,0.0344,133.144,4,0.964,1
0.816,0.273,238533,0.0947,0.762,2,0.12,-19.465,1,0.0436,132.675,3,0.125,1
0.0242,0.502,226800,0.595,0.0,5,0.436,-5.566,1,0.0286,107.642,4,0.449,0
0.97,0.189,304467,0.15,0.00261,10,0.12,-15.457,1,0.0424,64.572,4,0.103,1
0.817,0.694,118805,0.358,0.27,4,0.113,-15.888,1,0.032,105.089,4,0.952,1
0.00194,0.919,219880,0.73,8.51e-5,1,0.101,-6.581,1,0.088,95.044,4,0.189,0
0.00247,0.835,207733,0.833,0.0,1,0.171,-4.364,0,0.284,103.358,4,0.586,0
0.227,0.517,238333,0.798,0.0,7,0.0951,-5.322,0,0.0319,86.907,4,0.645,1
0.813,0.513,230520,0.662,0.18,11,0.288,-12.787,1,0.0435,101.275,4,0.734,1
0.00928,0.557,140571,0.876,0.00416,2,0.298,-3.014,0,0.0368,140.012,4,0.368,0
0.379,0.719,520661,0.664,0.0,4,0.979,-11.361,0,0.291,109.544,4,0.672,1
0.993,0.581,215000,0.233,0.872,9,0.0737,-17.979,1,0.046,129.506,4,0.888,1
0.811,0.36,344867,0.492,0.0,1,0.276,-10.325,1,0.0431,135.455,4,0.302,1
0.0091,0.405,220333,0.76,0.0,7,0.375,-4.863,1,0.0407,109.875,4,0.317,1
0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422,1
0.017,0.609,155546,0.912,0.0335,0,0.44,-3.823,1,0.0486,128.0,4,0.533,0
0.0683,0.643,215160,0.877,0.0,8,0.346,-5.805,1,0.0502,130.193,4,0.843,0
0.377,0.594,170427,0.497,0.0,1,0.103,-8.155,1,0.034,110.924,4,0.498,1
0.772,0.637,208307,0.273,0.000503,4,0.122,-11.871,0,0.0291,114.036,4,0.189,1
0.328,0.497,240213,0.661,0.000317,9,0.211,-9.047,1,0.0361,180.225,4,0.894,1
0.953,0.237,203893,0.158,0.000223,6,0.692,-14.205,1,0.0337,100.122,3,0.0439,1
0.00543,0.771,230200,0.685,0.00157,1,0.0537,-4.639,1,0.0567,88.997,4,0.683,0
0.176,0.582,208613,0.818,0.0,1,0.137,-5.179,1,0.0335,108.983,4,0.316,1
0.0744,0.622,348760,0.598,0.000299,2,0.119,-9.79,1,0.0296,131.183,4,0.719,1
0.137,0.666,211931,0.948,0.0,10,0.192,-2.776,1,0.0638,100.996,4,0.523,0
0.0469,0.311,208467,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668,1
0.00609,0.578,251800,0.848,0.00436,1,0.106,-5.092,1,0.0882,178.139,4,0.335,0
0.00944,0.649,260807,0.807,0.00185,7,0.111,-6.132,1,0.034,114.983,4,0.215,1
0.0102,0.511,174893,0.777,0.0155,11,0.215,-9.538,0,0.038,140.0,4,0.237,1
0.402,0.594,192627,0.872,3.02e-5,1,0.345,-2.204,1,0.0335,145.115,4,0.855,0
0.346,0.636,211933,0.863,0.0,2,0.0407,-4.324,1,0.0464,161.996,4,0.975,0
0.00686,0.764,212707,0.906,0.0,7,0.257,-6.041,0,0.0523,128.043,4,0.575,1
0.307,0.643,191606,0.766,1.38e-5,6,0.107,-4.788,0,0.384,97.092,4,0.463,0
0.284,0.438,236493,0.464,0.0035,1,0.221,-7.831,1,0.0304,119.601,4,0.321,1
0.0399,0.707,197355,0.758,0.0,4,0.141,-4.511,0,0.0917,97.037,4,0.674,0
0.0183,0.875,179512,0.835,0.00281,2,0.336,-3.626,1,0.0499,123.054,4,0.287,0
0.0206,0.769,223187,0.793,0.0,11,0.0388,-4.25,1,0.0278,99.649,4,0.603,0
0.946,0.323,100133,0.0461,0.0164,0,0.165,-27.817,1,0.0427,123.772,4,0.315,1
0.00689,0.865,287000,0.664,0.0,2,0.142,-6.822,1,0.108,162.831,4,0.565,0
0.982,0.322,276573,0.0549,0.851,9,0.0607,-24.028,0,0.0433,64.128,4,0.149,1
0.0235,0.505,224387,0.624,0.0,7,0.5,-6.513,1,0.0371,139.849,4,0.215,1
0.152,0.677,236853,0.497,0.0,5,0.0911,-5.763,1,0.0809,99.137,4,0.419,1
0.22,0.877,215547,0.537,0.000642,8,0.118,-6.035,1,0.0531,118.954,4,0.813,1
0.11,0.731,193467,0.748,0.0,1,0.325,-5.115,1,0.0443,94.965,4,0.836,0
0.586,0.565,238933,0.461,0.0,0,0.162,-7.273,1,0.141,157.894,4,0.199,1
0.472,0.679,230960,0.464,1.61e-5,6,0.105,-13.532,0,0.0395,102.315,3,0.922,1
0.0126,0.778,193467,0.615,1.44e-6,7,0.108,-6.529,1,0.0384,120.045,4,0.648,1
